HOUSEID,URBRUR,HOMEOWN,RATIO16V,RATIO16W,RATIOWV,TRAVDAY,HHNUMBIK,TELCELL,TELLAND,HHFAMINC,HHTOTD,NUMADLT,HHSIZE,CNTTDHH,HHVEHCNT,WRKCOUNT,DRVRCNT,HHSTATE,HTPPOPDN,HTHRESDN,HTEEMPDN
2M0009782,1,1,1,1,1,3,0,1,1,-7,12,1,2,10,1,1,1,MD,1500,700,750
2M0009785,1,2,2,1,2,3,0,1,1,5,12,1,2,4,1,2,2,MD,300,150,150
2M0009786,1,1,1,1,1,3,0,1,1,6,12,2,3,10,2,2,2,MD,3000,2000,3000
2M0009789,1,2,2,1,2,2,0,1,1,16,13,2,2,8,1,2,2,MD,1500,700,750
2M0009794,1,1,1,1,1,2,2,2,1,17,12,2,2,6,2,2,2,MD,7000,4000,5000
2M0009797,1,1,2,0,0,4,0,1,1,8,12,2,2,2,1,0,2,MD,3000,2000,1500
2M0009799,2,1,1,2,0.5,3,2,1,2,16,12,2,4,17,2,1,2,MD,300,150,150
2M0009801,1,2,0,0,1,3,2,1,1,10,12,-8,1,6,1,1,1,MD,7000,6000,5000
2M0009811,2,1,0.6667,1,0.6667,3,1,2,1,18,12,2,4,20,3,2,2,MD,750,150,350
2M0009812,2,1,1,1,1,3,2,2,1,18,12,2,4,17,2,2,2,MD,300,25,75
2M0009813,1,2,1,1,1,3,1,1,1,6,12,1,1,5,1,1,1,MD,3000,2000,3000
